rule_id,supplement_category,target_goal,ingredient_keyword,form,recommended_time,with_meal,frequency_per_day,dose_instruction,duration_weeks,avoid_with,spacing_rule,safety_note,tracking_frequency,expected_result_window,adherence_tip
SR0024,General Wellness,Strength,ashwagandha,liquid,After breakfast,Yes,1,1 tablet daily,8,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Stop and report side effects
SR0025,Omega-3,Strength,omega-3,tablet,After lunch,Yes,1,1 softgel after meal,8,Consult doctor before surgery,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for heart health support,Log missed doses honestly
SR0026,Vitamin,Immunity,vitamin c,powder,Morning,Yes,1,Follow label dosage,16,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-12 weeks for wellness support,Set a daily reminder in the app
SR0027,Performance,Immunity,beta alanine,liquid,Any time daily,No,1,1 serving 20-30 minutes before workout,12,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for performance improvement,Log missed doses honestly
SR0028,Protein,Skin Health,whey protein,capsule,Evening,Yes,1,1 scoop with water or milk,8,Avoid excessive intake with kidney disease,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for muscle gain support,Take it at the same time every day
SR0029,Collagen Protein,Heart Health,vitamin c,powder,Night,Yes,1,1 scoop daily,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Stop and report side effects
SR0030,BCAA,Immunity,bcaa,powder,After workout,No,1,1 serving during workout,8,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for recovery support,Review progress weekly
SR0031,BCAA,Skin Health,leucine,softgel,During workout,Optional,2,1 serving during workout,6,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for recovery support,Log missed doses honestly
SR0032,BCAA,Energy Boost,bcaa,tablet,After workout,Optional,2,1 serving during workout,6,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for recovery support,Set a daily reminder in the app
SR0033,Mineral,Immunity,zinc,gel,Night,No,1,Take as directed on label,12,Separate calcium/iron from levothyroxine by 4 hours,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Set a daily reminder in the app
SR0034,Vitamin,Energy Boost,vitamin c,liquid,After lunch,Yes,1,Follow label dosage,8,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-12 weeks for wellness support,Review progress weekly
SR0035,Joint Support,Heart Health,glucosamine,gel,After dinner,Yes,1,Follow label dosage,8,Use caution with blood thinners,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for joint comfort support,Log missed doses honestly
SR0036,Digestive,Heart Health,probiotic,tablet,Night,No,1,1 capsule before meal,12,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for digestive support,Log missed doses honestly
SR0037,Digestive,Immunity,lactobacillus,liquid,Night,Optional,1,Follow label dosage,8,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for digestive support,Stop and report side effects
SR0038,Joint Support,General Wellness,glucosamine,softgel,After dinner,Yes,1,Follow label dosage,12,Check shellfish allergy for glucosamine,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for joint comfort support,Review progress weekly
SR0039,Collagen Protein,Body Building,vitamin c,capsule,Morning,Optional,1,Follow label dosage,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for skin/joint support,Take it at the same time every day
SR0040,Mineral,General Wellness,calcium,softgel,Morning,Yes,1,1 capsule daily,12,Do not take iron with calcium or tea,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Stop and report side effects
SR0041,Collagen Protein,Strength,biotin,liquid,Morning,Optional,1,1 serving with water,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for skin/joint support,Set a daily reminder in the app
SR0042,Joint Support,Joint Support,chondroitin,liquid,After breakfast,Yes,1,Follow label dosage,12,Check shellfish allergy for glucosamine,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for joint comfort support,Review progress weekly
SR0043,Collagen Protein,Skin Health,collagen,gel,Night,Yes,2,1 scoop daily,12,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Log missed doses honestly
SR0044,Collagen Protein,Heart Health,collagen,powder,Night,Yes,1,1 serving with water,12,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for skin/joint support,Take it at the same time every day
SR0045,Digestive,Heart Health,digestive enzymes,softgel,Night,Optional,1,1 capsule daily,8,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Take it at the same time every day
SR0046,Digestive,Fat Loss,bifidobacterium,softgel,Night,Optional,2,1 capsule before meal,8,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Stop and report side effects
SR0047,Mineral,Digestive Health,magnesium,capsule,Night,No,1,Take as directed on label,12,Separate calcium/iron from levothyroxine by 4 hours,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Review progress weekly
SR0048,Joint Support,General Wellness,glucosamine,capsule,After dinner,Yes,1,Follow label dosage,16,Use caution with blood thinners,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for joint comfort support,Stop and report side effects
SR0049,Omega-3,Fat Loss,omega-3,powder,After dinner,Yes,1,1-2 softgels daily with food,12,Consult doctor before surgery,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for heart health support,Review progress weekly
SR0050,Protein,Muscle Gain,soy protein,gel,After workout,Optional,1,1 scoop with water or milk,8,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for recovery improvement,Take it at the same time every day
SR0051,Collagen Protein,Strength,vitamin c,gel,Morning,Optional,2,1 serving with water,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for skin/joint support,Take it at the same time every day
SR0052,Vitamin,Recovery,vitamin d,liquid,After lunch,Yes,1,Follow label dosage,16,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-12 weeks for wellness support,Review progress weekly
SR0053,Mineral,Heart Health,iron,softgel,Between meals,No,1,1 tablet daily,16,Separate calcium/iron from levothyroxine by 4 hours,"Keep 2 hours away from calcium, tea, or coffee",Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Set a daily reminder in the app
SR0054,Joint Support,Immunity,msm,softgel,After breakfast,Yes,2,Follow label dosage,8,Check shellfish allergy for glucosamine,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for joint comfort support,Stop and report side effects
SR0055,BCAA,Energy Boost,isoleucine,capsule,Before workout,No,2,Follow label dosage,8,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for recovery support,Stop and report side effects
SR0056,Mineral,Strength,zinc,softgel,Between meals,No,1,Take as directed on label,8,Separate calcium/iron from levothyroxine by 4 hours,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for deficiency support,Log missed doses honestly
SR0057,Omega-3,Arms,fish oil,liquid,After breakfast,Yes,1,1 softgel after meal,16,Use caution with blood thinning medications,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for heart health support,Review progress weekly
SR0058,Mineral,Arms,zinc,softgel,Between meals,No,2,1 tablet daily,8,Separate calcium/iron from levothyroxine by 4 hours,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Log missed doses honestly
SR0059,General Wellness,Fat Loss,ashwagandha,tablet,After breakfast,Optional,2,1 tablet daily,12,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for general wellness support,Set a daily reminder in the app
SR0060,Mineral,Fat Loss,magnesium,liquid,Morning,Yes,1,1 capsule daily,8,Separate calcium/iron from levothyroxine by 4 hours,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Set a daily reminder in the app
SR0061,Mineral,Fat Loss,magnesium,powder,Morning,No,1,1 tablet daily,12,Do not take iron with calcium or tea,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for deficiency support,Take it at the same time every day
SR0062,Collagen Protein,Strength,collagen,powder,Morning,Yes,2,1 serving with water,12,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Set a daily reminder in the app
SR0063,Performance,Body Building,pre workout blend,capsule,Any time daily,Optional,1,3-5g daily,6,Consult doctor if kidney disease exists,Avoid within 6 hours of bedtime,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for performance improvement,Review progress weekly
SR0064,General Wellness,Fat Loss,greens blend,gel,Evening,Optional,2,1 tablet daily,12,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for general wellness support,Review progress weekly
SR0065,Performance,Arms,beta alanine,capsule,Morning,Optional,1,3-5g daily,12,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for strength support,Take it at the same time every day
SR0066,Protein,Digestive Health,pea protein,tablet,Morning,Yes,1,1 scoop with water or milk,8,Avoid excessive intake with kidney disease,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for muscle gain support,Set a daily reminder in the app
SR0067,Mineral,Immunity,magnesium,capsule,Between meals,Yes,2,1 capsule daily,8,Do not take iron with calcium or tea,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Set a daily reminder in the app
SR0068,Protein,Digestive Health,casein protein,softgel,Morning,Yes,2,1 serving after workout,8,Avoid excessive intake with kidney disease,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for muscle gain support,Stop and report side effects
SR0069,Performance,Immunity,creatine monohydrate,gel,Any time daily,No,1,3-5g daily,6,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for strength support,Log missed doses honestly
SR0070,General Wellness,Immunity,multivitamin,softgel,Morning,Optional,2,1 serving daily,12,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for general wellness support,Log missed doses honestly
SR0071,Digestive,Fat Loss,lactobacillus,liquid,Before meal,Optional,1,1 capsule daily,8,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for digestive support,Stop and report side effects
SR0072,Performance,Immunity,citrulline malate,gel,Any time daily,No,1,Follow label dosage,8,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for performance improvement,Set a daily reminder in the app
SR0073,Mineral,Heart Health,magnesium,capsule,Between meals,No,2,1 tablet daily,8,Separate calcium/iron from levothyroxine by 4 hours,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Stop and report side effects
SR0074,Performance,Heart Health,creatine monohydrate,softgel,Morning,Optional,1,Follow label dosage,8,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for strength support,Set a daily reminder in the app
SR0075,Collagen Protein,Recovery,collagen,softgel,Night,Optional,2,1 serving with water,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Stop and report side effects
SR0076,Joint Support,Energy Boost,chondroitin,gel,After dinner,Yes,1,Follow label dosage,8,Check shellfish allergy for glucosamine,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for joint comfort support,Log missed doses honestly
SR0077,Vitamin,General Wellness,multivitamin,tablet,After breakfast,Yes,2,1 capsule daily,12,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-12 weeks for wellness support,Review progress weekly
SR0078,Digestive,Recovery,digestive enzymes,liquid,Before meal,Optional,1,1 capsule daily,12,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for digestive support,Stop and report side effects
SR0079,Protein,Muscle Gain,casein protein,liquid,Evening,Yes,1,1 scoop with water or milk,10,Avoid excessive intake with kidney disease,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for muscle gain support,Take it at the same time every day
SR0080,Performance,Immunity,pre workout blend,gel,Any time daily,No,2,3-5g daily,12,Consult doctor if kidney disease exists,Avoid within 6 hours of bedtime,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for performance improvement,Stop and report side effects
SR0081,Joint Support,Digestive Health,glucosamine,powder,Morning,Yes,1,Follow label dosage,16,Use caution with blood thinners,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for joint comfort support,Set a daily reminder in the app
SR0082,Collagen Protein,Fat Loss,collagen,tablet,Night,Yes,1,1 serving with water,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Take it at the same time every day
SR0083,Mineral,Joint Support,zinc,liquid,Between meals,Yes,1,1 tablet daily,8,Separate calcium/iron from levothyroxine by 4 hours,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for deficiency support,Review progress weekly
SR0084,BCAA,Skin Health,leucine,softgel,After workout,No,2,Follow label dosage,8,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for recovery support,Set a daily reminder in the app
SR0085,Collagen Protein,Fat Loss,biotin,capsule,Night,Yes,2,1 serving with water,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Set a daily reminder in the app
SR0086,Mineral,Immunity,zinc,softgel,Between meals,No,1,Take as directed on label,16,Do not take iron with calcium or tea,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for deficiency support,Review progress weekly
SR0087,Protein,Joint Support,pea protein,tablet,Morning,Optional,1,1 scoop daily,8,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for recovery improvement,Set a daily reminder in the app
SR0088,Protein,Fat Loss,soy protein,tablet,Morning,Optional,1,1 scoop with water or milk,12,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for muscle gain support,Take it at the same time every day
SR0089,Mineral,Skin Health,calcium,tablet,Between meals,No,1,Take as directed on label,8,Separate calcium/iron from levothyroxine by 4 hours,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Set a daily reminder in the app
SR0090,Collagen Protein,Skin Health,collagen,softgel,Morning,Optional,2,1 serving with water,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for skin/joint support,Review progress weekly
SR0091,Performance,Immunity,pre workout blend,capsule,Any time daily,No,2,1 serving 20-30 minutes before workout,12,Avoid high caffeine intake at night,Avoid within 6 hours of bedtime,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Review progress weekly
SR0092,Joint Support,Immunity,msm,softgel,Morning,Yes,1,Follow label dosage,16,Check shellfish allergy for glucosamine,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for joint comfort support,Set a daily reminder in the app
SR0093,Protein,Recovery,soy protein,softgel,Morning,Optional,1,1 scoop daily,8,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for muscle gain support,Review progress weekly
SR0094,BCAA,Muscle Gain,valine,liquid,Before workout,Optional,2,1 scoop with water,10,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for recovery support,Stop and report side effects
SR0095,Collagen Protein,Muscle Gain,collagen,softgel,After breakfast,Optional,1,Follow label dosage,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for skin/joint support,Set a daily reminder in the app
SR0096,Collagen Protein,Strength,collagen,gel,Night,Optional,1,1 serving with water,8,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for skin/joint support,Review progress weekly
SR0097,Mineral,Strength,calcium,capsule,Morning,No,1,1 tablet daily,16,Separate calcium/iron from levothyroxine by 4 hours,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Take it at the same time every day
SR0098,Performance,Muscle Gain,creatine monohydrate,capsule,Before workout,Optional,1,Follow label dosage,6,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Take it at the same time every day
SR0099,Digestive,General Wellness,probiotic,gel,Night,Optional,2,1 capsule daily,8,Use caution if immunocompromised,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for digestive support,Review progress weekly
SR0100,Vitamin,Immunity,multivitamin,powder,After lunch,Yes,1,1 capsule daily,12,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-12 weeks for wellness support,Set a daily reminder in the app
SR0101,Performance,Recovery,citrulline malate,gel,Morning,Optional,1,1 serving 20-30 minutes before workout,6,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-8 weeks for performance improvement,Stop and report side effects
SR0102,Joint Support,Recovery,turmeric,tablet,After breakfast,Yes,1,Follow label dosage,12,Use caution with blood thinners,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for joint comfort support,Stop and report side effects
SR0103,Performance,Body Building,citrulline malate,powder,Any time daily,No,1,3-5g daily,8,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for strength support,Stop and report side effects
SR0104,Performance,Energy Boost,citrulline malate,liquid,Before workout,Optional,1,3-5g daily,12,Consult doctor if kidney disease exists,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Log missed doses honestly
SR0105,General Wellness,Arms,ashwagandha,powder,After breakfast,Yes,1,Follow label dosage,8,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for general wellness support,Set a daily reminder in the app
SR0106,Vitamin,Digestive Health,vitamin c,tablet,Morning,Yes,1,1 tablet after meal,8,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-12 weeks for wellness support,Set a daily reminder in the app
SR0107,BCAA,Body Building,leucine,liquid,Before workout,No,1,Follow label dosage,6,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for recovery support,Stop and report side effects
