supplement_id,name,category,target_goal,ingredients,dosage,price_range,brand,size,form,price_lkr,price_range_lkr,currency,store_name,price_source,last_checked,data_type,price_note,rating
S0020,OptiWell Pre-Workout Caffeine Basic,Performance,Recovery,caffeine; beta-alanine; citrulline,30 min before workout,Medium,Generic Performance,300g-500g,powder,11800,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.5
S0021,FitCore Electrolyte Mix Plus,Hydration,Endurance,sodium; potassium; magnesium,during workout,Low,Applied Nutrition,1 serving-300g,powder,8500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.8
S0022,BioActive Electrolyte Mix,Hydration,Joint Support,sodium; potassium; magnesium,during workout,Medium,ABE,1 serving-300g,powder,1000,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0023,PureForm Whey Protein Basic,Protein,Muscle Gain,whey protein isolate; branched-chain amino acids,1 scoop after workout,Medium,Generic Sports Nutrition,2lb-5lb,powder,42500,25000-50000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0024,BioActive Iron Supplement Plus,Mineral,Energy Boost,iron ferrous bisglycinate,1 tablet between meals,Low,NOW Foods,60-120 count,tablet,2300,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0025,HealthPlus Whey Protein Plus,Protein,Weight Loss,whey protein isolate; branched-chain amino acids,1 scoop after workout,Medium,Rule 1,2lb-5lb,powder,42500,25000-50000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,5
S0026,CeyFit BCAA Advanced,Amino Acid,Recovery,leucine; isoleucine; valine,5-10g during/after workout,Low,BPI,300g-500g,powder,8800,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4
S0027,OptiWell Creatine Monohydrate,Performance,Muscle Gain,creatine monohydrate,3-5g daily,Low,Applied Nutrition,300g-500g,powder,15500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,5
S0028,NutriMax BCAA Basic,Amino Acid,Recovery,leucine; isoleucine; valine,5-10g during/after workout,Medium,BPI,300g-500g,powder,17500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0029,OptiWell Casein Protein Ultra,Protein,Recovery,casein protein,1 scoop before sleep,Medium,Dymatize,2lb-5lb,powder,37000,25000-50000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0030,NutriMax BCAA Plus,Amino Acid,Recovery,leucine; isoleucine; valine,5-10g during/after workout,Medium,Generic Amino,300g-500g,powder,25000,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.4
S0031,CeyFit Omega-3 Fish Oil Advanced,Fatty Acid,Energy Boost,omega-3 EPA DHA; fish oil,1 softgel with meal,Medium,Nature Made,60-120 count,softgel,6500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.9
S0032,WellGen Beta-Alanine Advanced,Performance,Endurance,beta-alanine,2-3g daily,Low,Nutricost,300g-500g,powder,6400,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0033,StrongLife Casein Protein Advanced,Protein,General Wellness,casein protein,1 scoop before sleep,Medium,Rule 1,2lb-5lb,powder,25500,25000-50000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0034,NutriMax Collagen Peptides Ultra,Protein,Hair and Skin,collagen peptides; vitamin C,1 scoop daily,High,Rule 1,2lb-5lb,powder,19500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0035,HealthPlus Multivitamin Pro,Vitamin,Immunity,vitamin A; vitamin C; vitamin E; zinc; selenium,1 tablet with breakfast,Low,Generic Wellness,60-120 count,tablet,4300,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0036,ActiveFuel Vitamin C Pro,Vitamin,Joint Support,ascorbic acid,1 tablet after meal,Medium,Applied Nutrition,60-120 count,tablet,7000,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0037,ActiveFuel Vitamin D3 Pro,Vitamin,Bone Health,vitamin D3 cholecalciferol,1000-2000 IU with meal,Low,Applied Nutrition,60-120 count,capsule,2800,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,5
S0038,NutriMax Creatine Monohydrate Plus,Performance,Muscle Gain,creatine monohydrate,3-5g daily,Low,Applied Nutrition,300g-500g,powder,9500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,5
S0039,StrongLife Vitamin C,Vitamin,Heart Health,ascorbic acid,1 tablet after meal,Medium,Generic Wellness,60-120 count,tablet,4600,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0040,WellGen Glucosamine Chondroitin Pro,Joint,Joint Support,glucosamine; chondroitin,1 tablet with meal,Low,Generic Joint Support,60-120 count,tablet,6500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4
S0041,HealthPlus Probiotic Complex Ultra,Digestive,General Wellness,lactobacillus; bifidobacterium,1 capsule before meal,High,Nutricost,60-120 count,capsule,10600,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.9
S0042,ProNutra Multivitamin Pro,Vitamin,Muscle Gain,vitamin A; vitamin C; vitamin E; zinc; selenium,1 tablet with breakfast,Low,NOW Foods,60-120 count,tablet,3700,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4
S0043,HealthPlus Calcium Magnesium Zinc Basic,Mineral,Immunity,calcium; magnesium; zinc,1 tablet after meal,Medium,NOW Foods,60-120 count,tablet,5600,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.7
S0044,FitCore L-Carnitine,Amino Acid,Weight Loss,L-carnitine,1 serving before workout,Low,Allmax Nutrition,300g-500g,powder,12500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.6
S0045,VitaLab Pre-Workout Caffeine,Performance,Energy Boost,caffeine; beta-alanine; citrulline,30 min before workout,Medium,Nutricost,300g-500g,powder,9800,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0046,ProNutra Omega-3 Fish Oil Advanced,Fatty Acid,Heart Health,omega-3 EPA DHA; fish oil,1 softgel with meal,Medium,Generic Omega,60-120 count,softgel,10500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.2
S0047,WellGen BCAA Basic,Amino Acid,Recovery,leucine; isoleucine; valine,5-10g during/after workout,Medium,Applied Nutrition,300g-500g,powder,11500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0048,PureForm Probiotic Complex Ultra,Digestive,General Wellness,lactobacillus; bifidobacterium,1 capsule before meal,High,ProNutra,60-120 count,capsule,13700,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0049,HealthPlus Vitamin D3 Ultra,Vitamin,Endurance,vitamin D3 cholecalciferol,1000-2000 IU with meal,Low,Nature Made,60-120 count,capsule,1800,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.8
S0050,FitCore Pre-Workout Caffeine Advanced,Performance,Energy Boost,caffeine; beta-alanine; citrulline,30 min before workout,Medium,Allmax Nutrition,300g-500g,powder,14100,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.9
S0051,ProNutra Whey Protein Ultra,Protein,Muscle Gain,whey protein isolate; branched-chain amino acids,1 scoop after workout,Medium,Rule 1,2lb-5lb,powder,48000,25000-50000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.7
S0052,StrongLife Calcium Magnesium Zinc Plus,Mineral,Endurance,calcium; magnesium; zinc,1 tablet after meal,Medium,NOW Foods,60-120 count,tablet,5400,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.8
S0053,VitaLab Iron Supplement Basic,Mineral,Weight Loss,iron ferrous bisglycinate,1 tablet between meals,Low,NOW Foods,60-120 count,tablet,2900,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0054,OptiWell Collagen Peptides Plus,Protein,Endurance,collagen peptides; vitamin C,1 scoop daily,High,Dymatize,2lb-5lb,powder,17500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0055,ProNutra Iron Supplement Plus,Mineral,Energy Boost,iron ferrous bisglycinate,1 tablet between meals,Low,Nature Made,60-120 count,tablet,1800,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.6
S0056,ActiveFuel Glucosamine Chondroitin Plus,Joint,Joint Support,glucosamine; chondroitin,1 tablet with meal,High,Allmax Nutrition,60-120 count,tablet,15200,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0057,StrongLife Beta-Alanine,Performance,Endurance,beta-alanine,2-3g daily,Low,Allmax Nutrition,300g-500g,powder,4900,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.6
S0058,ActiveFuel L-Carnitine Pro,Amino Acid,Weight Loss,L-carnitine,1 serving before workout,Medium,BPI,300g-500g,powder,8800,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.7
S0059,CeyFit Electrolyte Mix Pro,Hydration,Bone Health,sodium; potassium; magnesium,during workout,Low,BioActive,1 serving-300g,powder,1000,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.7
S0060,WellGen Collagen Peptides Ultra,Protein,Hair and Skin,collagen peptides; vitamin C,1 scoop daily,High,Mutant,2lb-5lb,powder,19500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0061,FitCore Beta-Alanine Plus,Performance,Muscle Gain,beta-alanine,2-3g daily,Low,Cellucor,300g-500g,powder,8000,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.7
S0062,StrongLife BCAA Ultra,Amino Acid,Joint Support,leucine; isoleucine; valine,5-10g during/after workout,Medium,Allmax Nutrition,300g-500g,powder,8800,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.8
S0063,BioActive Electrolyte Mix Pro,Hydration,Endurance,sodium; potassium; magnesium,during workout,Low,Generic Hydration,1 serving-300g,powder,6500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0064,BioActive Glucosamine Chondroitin Ultra,Joint,Joint Support,glucosamine; chondroitin,1 tablet with meal,High,Nutricost,60-120 count,tablet,16300,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0065,WellGen Pre-Workout Caffeine Basic,Performance,Energy Boost,caffeine; beta-alanine; citrulline,30 min before workout,Medium,Cellucor,300g-500g,powder,10200,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.9
S0066,HealthPlus Ashwagandha Advanced,Herbal,Recovery,ashwagandha extract,1 capsule evening,Low,Nutricost,60-120 count,capsule,3300,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4
S0067,BioActive Calcium Magnesium Zinc,Mineral,Bone Health,calcium; magnesium; zinc,1 tablet after meal,Medium,Nature Made,60-120 count,tablet,5200,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0068,VitaLab Iron Supplement Basic,Mineral,Energy Boost,iron ferrous bisglycinate,1 tablet between meals,Low,21st Century,60-120 count,tablet,1600,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.5
S0069,NutriMax Whey Protein Basic,Protein,Immunity,whey protein isolate; branched-chain amino acids,1 scoop after workout,Medium,MuscleTech,2lb-5lb,powder,18500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.6
S0070,BioActive Green Tea Extract Plus,Herbal,Muscle Gain,green tea extract; caffeine,1 capsule morning,Medium,Generic Herbal,60-120 count,capsule,8400,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,2.8
S0071,FitCore Casein Protein Basic,Protein,Recovery,casein protein,1 scoop before sleep,Low,Dymatize,2lb-5lb,powder,48000,25000-50000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.6
S0072,StrongLife BCAA Plus,Amino Acid,Recovery,leucine; isoleucine; valine,5-10g during/after workout,Medium,BPI,300g-500g,powder,17500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.8
S0073,HealthPlus Probiotic Complex,Digestive,General Wellness,lactobacillus; bifidobacterium,1 capsule before meal,High,NOW Foods,60-120 count,capsule,10500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0074,ProNutra Beta-Alanine,Performance,Endurance,beta-alanine,2-3g daily,Low,Generic Performance,300g-500g,powder,8700,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.5
S0075,StrongLife Creatine Monohydrate Basic,Performance,Muscle Gain,creatine monohydrate,3-5g daily,Low,Allmax Nutrition,300g-500g,powder,14500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.4
S0076,ActiveFuel BCAA Pro,Amino Acid,Recovery,leucine; isoleucine; valine,5-10g during/after workout,Low,Allmax Nutrition,300g-500g,powder,25000,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,5
S0077,NutriMax Creatine Monohydrate Plus,Performance,Muscle Gain,creatine monohydrate,3-5g daily,Low,Applied Nutrition,300g-500g,powder,15500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0078,StrongLife Probiotic Complex Basic,Digestive,General Wellness,lactobacillus; bifidobacterium,1 capsule before meal,High,Nutricost,60-120 count,capsule,14500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0079,WellGen Probiotic Complex Basic,Digestive,General Wellness,lactobacillus; bifidobacterium,1 capsule before meal,High,ProNutra,60-120 count,capsule,10200,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.4
S0080,ActiveFuel Turmeric Curcumin,Herbal,Joint Support,curcumin; black pepper extract,1 capsule with meal,Medium,NOW Foods,60-120 count,capsule,7800,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
