guidance_id,bmi_category,food_name,food_group,calories_kcal,carbs_g,sugar_g,sodium_mg,suitability_score,recommendation_level,guidance_note
BFG00016,Obese,Avocado,fruit,240,12,1,10,40,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00017,Obese,Watermelon Juice,beverage,80,20,16,3,63,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00018,Overweight,Red Rice,grain,210,45,1,5,55,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00019,Overweight,Chicken Curry,protein,260,6,2,420,35,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00020,Underweight,Chicken Curry,protein,260,6,2,420,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00021,Obese,Cucumber Salad,vegetable,25,5,2,5,111,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00022,Overweight,Spinach Curry,leafy vegetable,90,8,2,120,75,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00023,Obese,Orange Juice,beverage,110,26,21,2,42,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00024,Overweight,Grapefruit Juice,fruit beverage,96,23,22,2,0,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00025,Overweight,Watermelon Juice,beverage,80,20,16,3,88,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00026,Underweight,Cucumber Salad,vegetable,25,5,2,5,86,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00027,Overweight,Coconut Roti,grain,300,42,4,210,15,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00028,Obese,Banana,fruit,105,27,14,1,60,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00029,Healthy,Red Rice,grain,210,45,1,5,55,Use with caution,Maintain balanced portions and variety.
BFG00030,Healthy,Cucumber Salad,vegetable,25,5,2,5,96,Recommended,Maintain balanced portions and variety.
BFG00031,Overweight,Banana,fruit,105,27,14,1,70,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00032,Overweight,Coconut Roti,grain,300,42,4,210,15,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00033,Underweight,Beer,alcohol beverage,154,13,0,14,25,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00034,Obese,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00035,Overweight,Green Tea,beverage,2,0,0,5,105,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00036,Obese,Lentil Curry,legume,180,28,3,260,72,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00037,Obese,Orange Juice,beverage,110,26,21,2,42,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00038,Underweight,Apple,fruit,95,25,19,2,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00039,Underweight,Chicken Curry,protein,260,6,2,420,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00040,Obese,Spinach Curry,leafy vegetable,90,8,2,120,80,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00041,Obese,Lentil Curry,legume,180,28,3,260,72,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00042,Healthy,Cucumber Salad,vegetable,25,5,2,5,96,Recommended,Maintain balanced portions and variety.
BFG00043,Obese,Fish Curry,protein,220,4,1,380,30,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00044,Overweight,Spinach Curry,leafy vegetable,90,8,2,120,75,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00045,Obese,Red Rice,grain,210,45,1,5,25,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00046,Overweight,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00047,Underweight,Red Rice,grain,210,45,1,5,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00048,Healthy,Lentil Curry,legume,180,28,3,260,72,Use with caution,Maintain balanced portions and variety.
BFG00049,Obese,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00050,Underweight,Orange Juice,beverage,110,26,21,2,72,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00051,Healthy,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,Maintain balanced portions and variety.
BFG00052,Obese,Green Tea,beverage,2,0,0,5,110,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00053,Healthy,Green Tea,beverage,2,0,0,5,95,Recommended,Maintain balanced portions and variety.
BFG00054,Overweight,White Rice,grain,240,53,0,2,25,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00055,Underweight,Cucumber Salad,vegetable,25,5,2,5,86,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00056,Healthy,White Rice,grain,240,53,0,2,45,Use with caution,Maintain balanced portions and variety.
BFG00057,Obese,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00058,Underweight,Ceylon Tea,beverage,5,1,0,2,83,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00059,Underweight,Red Rice,grain,210,45,1,5,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00060,Obese,Coconut Roti,grain,300,42,4,210,5,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00061,Healthy,Lentil Curry,legume,180,28,3,260,72,Use with caution,Maintain balanced portions and variety.
BFG00062,Overweight,Watermelon Juice,beverage,80,20,16,3,88,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00063,Healthy,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,Maintain balanced portions and variety.
BFG00064,Healthy,Chicken Curry,protein,260,6,2,420,55,Use with caution,Maintain balanced portions and variety.
BFG00065,Healthy,Coconut Roti,grain,300,42,4,210,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00066,Healthy,Cucumber Salad,vegetable,25,5,2,5,96,Recommended,Maintain balanced portions and variety.
BFG00067,Healthy,Oats,grain,160,28,1,2,85,Recommended,Maintain balanced portions and variety.
BFG00068,Healthy,Apple,fruit,95,25,19,2,70,Use with caution,Maintain balanced portions and variety.
BFG00069,Overweight,Cheese,dairy,110,1,0,180,45,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00070,Healthy,Avocado,fruit,240,12,1,10,70,Use with caution,Maintain balanced portions and variety.
BFG00071,Obese,Lentil Curry,legume,180,28,3,260,72,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00072,Underweight,Coconut Roti,grain,300,42,4,210,50,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00073,Healthy,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,Maintain balanced portions and variety.
BFG00074,Underweight,Banana,fruit,105,27,14,1,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00075,Underweight,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00076,Overweight,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00077,Healthy,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,Maintain balanced portions and variety.
BFG00078,Overweight,Red Rice,grain,210,45,1,5,55,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00079,Obese,Lentil Curry,legume,180,28,3,260,72,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00080,Overweight,Fish Curry,protein,220,4,1,380,60,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00081,Underweight,White Rice,grain,240,53,0,2,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00082,Healthy,Banana,fruit,105,27,14,1,60,Use with caution,Maintain balanced portions and variety.
BFG00083,Healthy,Coconut Roti,grain,300,42,4,210,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00084,Obese,Chicken Curry,protein,260,6,2,420,25,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00085,Obese,Spinach Curry,leafy vegetable,90,8,2,120,80,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00086,Obese,Cheese,dairy,110,1,0,180,35,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00087,Obese,White Rice,grain,240,53,0,2,15,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00088,Underweight,Cucumber Salad,vegetable,25,5,2,5,86,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00089,Healthy,Red Rice,grain,210,45,1,5,55,Use with caution,Maintain balanced portions and variety.
BFG00090,Obese,Coconut Roti,grain,300,42,4,210,5,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00091,Healthy,Spinach Curry,leafy vegetable,90,8,2,120,65,Use with caution,Maintain balanced portions and variety.
BFG00092,Obese,Avocado,fruit,240,12,1,10,40,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00093,Overweight,Orange Juice,beverage,110,26,21,2,62,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00094,Underweight,Avocado,fruit,240,12,1,10,85,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00095,Healthy,Lentil Curry,legume,180,28,3,260,72,Use with caution,Maintain balanced portions and variety.
BFG00096,Underweight,Apple,fruit,95,25,19,2,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00097,Overweight,Papaya,fruit,60,15,10,4,92,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00098,Underweight,Orange Juice,beverage,110,26,21,2,72,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00099,Healthy,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,Maintain balanced portions and variety.
BFG00100,Healthy,Grapefruit Juice,fruit beverage,96,23,22,2,8,Limit/Avoid,Maintain balanced portions and variety.
BFG00101,Healthy,Oats,grain,160,28,1,2,85,Recommended,Maintain balanced portions and variety.
BFG00102,Obese,Chicken Curry,protein,260,6,2,420,25,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00103,Overweight,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00104,Obese,Green Tea,beverage,2,0,0,5,110,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00105,Obese,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00106,Underweight,Grapefruit Juice,fruit beverage,96,23,22,2,8,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00107,Obese,Red Rice,grain,210,45,1,5,25,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00108,Underweight,Coconut Roti,grain,300,42,4,210,50,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00109,Obese,Apple,fruit,95,25,19,2,55,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00110,Obese,Grapefruit Juice,fruit beverage,96,23,22,2,0,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00111,Underweight,Papaya,fruit,60,15,10,4,82,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00112,Obese,Ceylon Tea,beverage,5,1,0,2,108,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00113,Obese,Coconut Roti,grain,300,42,4,210,5,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00114,Overweight,Green Tea,beverage,2,0,0,5,105,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00115,Overweight,Banana,fruit,105,27,14,1,70,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00116,Overweight,Cucumber Salad,vegetable,25,5,2,5,106,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00117,Obese,Cheese,dairy,110,1,0,180,35,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00118,Overweight,Oats,grain,160,28,1,2,85,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00119,Obese,Grapefruit Juice,fruit beverage,96,23,22,2,0,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00120,Healthy,Papaya,fruit,60,15,10,4,82,Recommended,Maintain balanced portions and variety.
BFG00121,Obese,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00122,Underweight,Green Tea,beverage,2,0,0,5,85,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00123,Overweight,Orange Juice,beverage,110,26,21,2,62,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00124,Overweight,Cucumber Salad,vegetable,25,5,2,5,106,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00125,Overweight,Lentil Curry,legume,180,28,3,260,72,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00126,Obese,Beer,alcohol beverage,154,13,0,14,10,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00127,Obese,Banana,fruit,105,27,14,1,60,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00128,Overweight,Ceylon Tea,beverage,5,1,0,2,103,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00129,Overweight,Chicken Curry,protein,260,6,2,420,35,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00130,Underweight,Fish Curry,protein,220,4,1,380,75,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00131,Obese,Green Tea,beverage,2,0,0,5,110,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00132,Underweight,Cheese,dairy,110,1,0,180,35,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00133,Underweight,Papaya,fruit,60,15,10,4,82,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00134,Obese,Cheese,dairy,110,1,0,180,35,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00135,Obese,Chicken Curry,protein,260,6,2,420,25,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00136,Healthy,Watermelon Juice,beverage,80,20,16,3,78,Recommended,Maintain balanced portions and variety.
BFG00137,Healthy,Avocado,fruit,240,12,1,10,70,Use with caution,Maintain balanced portions and variety.
BFG00138,Healthy,Fish Curry,protein,220,4,1,380,60,Use with caution,Maintain balanced portions and variety.
BFG00139,Underweight,Cheese,dairy,110,1,0,180,35,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00140,Overweight,Watermelon Juice,beverage,80,20,16,3,88,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00141,Obese,Orange Juice,beverage,110,26,21,2,42,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00142,Overweight,Avocado,fruit,240,12,1,10,50,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00143,Underweight,Beer,alcohol beverage,154,13,0,14,25,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00144,Obese,White Rice,grain,240,53,0,2,15,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00145,Obese,Orange Juice,beverage,110,26,21,2,42,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00146,Obese,Coconut Roti,grain,300,42,4,210,5,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00147,Obese,Papaya,fruit,60,15,10,4,97,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00148,Underweight,Beer,alcohol beverage,154,13,0,14,25,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00149,Underweight,Chicken Curry,protein,260,6,2,420,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00150,Obese,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00151,Obese,Apple,fruit,95,25,19,2,55,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00152,Healthy,Banana,fruit,105,27,14,1,60,Use with caution,Maintain balanced portions and variety.
BFG00153,Overweight,Spinach Curry,leafy vegetable,90,8,2,120,75,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00154,Underweight,Banana,fruit,105,27,14,1,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00155,Healthy,Coconut Roti,grain,300,42,4,210,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00156,Obese,Green Tea,beverage,2,0,0,5,110,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00157,Obese,Green Tea,beverage,2,0,0,5,110,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00158,Underweight,Green Tea,beverage,2,0,0,5,85,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00159,Obese,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00160,Healthy,Banana,fruit,105,27,14,1,60,Use with caution,Maintain balanced portions and variety.
BFG00161,Healthy,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,Maintain balanced portions and variety.
BFG00162,Obese,Green Tea,beverage,2,0,0,5,110,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00163,Healthy,Orange Juice,beverage,110,26,21,2,72,Use with caution,Maintain balanced portions and variety.
BFG00164,Healthy,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,Maintain balanced portions and variety.
BFG00165,Obese,Avocado,fruit,240,12,1,10,40,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00166,Healthy,Spinach Curry,leafy vegetable,90,8,2,120,65,Use with caution,Maintain balanced portions and variety.
BFG00167,Underweight,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00168,Overweight,Beer,alcohol beverage,154,13,0,14,10,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00169,Healthy,Coconut Roti,grain,300,42,4,210,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00170,Underweight,Oats,grain,160,28,1,2,100,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00171,Overweight,Apple,fruit,95,25,19,2,60,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00172,Obese,Watermelon Juice,beverage,80,20,16,3,63,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00173,Overweight,Coconut Roti,grain,300,42,4,210,15,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00174,Healthy,Banana,fruit,105,27,14,1,60,Use with caution,Maintain balanced portions and variety.
BFG00175,Underweight,Apple,fruit,95,25,19,2,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00176,Overweight,Grapefruit Juice,fruit beverage,96,23,22,2,0,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00177,Underweight,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00178,Healthy,Orange Juice,beverage,110,26,21,2,72,Use with caution,Maintain balanced portions and variety.
BFG00179,Overweight,Grapefruit Juice,fruit beverage,96,23,22,2,0,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00180,Obese,Papaya,fruit,60,15,10,4,97,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00181,Obese,Papaya,fruit,60,15,10,4,97,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00182,Underweight,Banana,fruit,105,27,14,1,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00183,Obese,Green Tea,beverage,2,0,0,5,110,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00184,Underweight,Cucumber Salad,vegetable,25,5,2,5,86,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00185,Overweight,Orange Juice,beverage,110,26,21,2,62,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00186,Healthy,Orange Juice,beverage,110,26,21,2,72,Use with caution,Maintain balanced portions and variety.
BFG00187,Overweight,Lentil Curry,legume,180,28,3,260,72,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00188,Underweight,Ceylon Tea,beverage,5,1,0,2,83,Recommended,Prioritize nutrient-dense foods and adequate calories.
BFG00189,Underweight,Apple,fruit,95,25,19,2,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00190,Underweight,Coconut Roti,grain,300,42,4,210,50,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00191,Healthy,Ceylon Tea,beverage,5,1,0,2,93,Recommended,Maintain balanced portions and variety.
BFG00192,Underweight,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00193,Overweight,White Rice,grain,240,53,0,2,25,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00194,Overweight,Chicken Curry,protein,260,6,2,420,35,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00195,Overweight,Grapefruit Juice,fruit beverage,96,23,22,2,0,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00196,Overweight,Banana,fruit,105,27,14,1,70,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00197,Overweight,Chicken Curry,protein,260,6,2,420,35,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00198,Overweight,Papaya,fruit,60,15,10,4,92,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00199,Overweight,Yogurt,dairy,120,18,15,90,7,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00200,Overweight,Papaya,fruit,60,15,10,4,92,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00201,Obese,Apple,fruit,95,25,19,2,55,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00202,Healthy,Banana,fruit,105,27,14,1,60,Use with caution,Maintain balanced portions and variety.
BFG00203,Overweight,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00204,Healthy,Orange Juice,beverage,110,26,21,2,72,Use with caution,Maintain balanced portions and variety.
BFG00205,Healthy,Cheese,dairy,110,1,0,180,35,Limit/Avoid,Maintain balanced portions and variety.
BFG00206,Healthy,Papaya,fruit,60,15,10,4,82,Recommended,Maintain balanced portions and variety.
BFG00207,Healthy,Ceylon Tea,beverage,5,1,0,2,93,Recommended,Maintain balanced portions and variety.
BFG00208,Overweight,Lentil Curry,legume,180,28,3,260,72,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00209,Obese,Banana,fruit,105,27,14,1,60,Use with caution,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00210,Obese,Chicken Curry,protein,260,6,2,420,25,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00211,Underweight,White Rice,grain,240,53,0,2,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00212,Healthy,Fish Curry,protein,220,4,1,380,60,Use with caution,Maintain balanced portions and variety.
BFG00213,Overweight,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00214,Overweight,Grapefruit Juice,fruit beverage,96,23,22,2,0,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00215,Overweight,Ceylon Tea,beverage,5,1,0,2,103,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00216,Overweight,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00217,Overweight,Cheese,dairy,110,1,0,180,45,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00218,Overweight,Kola Kenda,herbal drink,120,20,3,80,76,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00219,Obese,Fish Curry,protein,220,4,1,380,30,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00220,Underweight,White Rice,grain,240,53,0,2,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00221,Underweight,Red Rice,grain,210,45,1,5,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00222,Underweight,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,Prioritize nutrient-dense foods and adequate calories.
BFG00223,Overweight,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00224,Underweight,Chicken Curry,protein,260,6,2,420,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00225,Healthy,Oats,grain,160,28,1,2,85,Recommended,Maintain balanced portions and variety.
BFG00226,Overweight,White Rice,grain,240,53,0,2,25,Limit/Avoid,"Prefer lower-calorie, high-fiber options and control portions."
BFG00227,Obese,Grapefruit Juice,fruit beverage,96,23,22,2,0,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00228,Healthy,Avocado,fruit,240,12,1,10,70,Use with caution,Maintain balanced portions and variety.
