drug_name,drug_contains,food_name,severity_silver,reason_tags_silver,severity_gold,reason_tags_gold,reference_source
Amixide-H Tablet,Amitriptyline (12.5mg)+ Chlordiazepoxide (5mg),"LIQUOR, TODDY, KITUL",2,cns_alcohol,,,
Azel 80 Capsule,Enzalutamide (80mg),Helapa,0,,,,
Amantrel Tablet,Amantadine (100mg),Onion (Tempered),0,,,,
Atorva 20 Tablet,Atorvastatin (20mg),"AMBARELLA, TEMPERED, W/ COCONUT MILK",1,high_fat_empty_stomach,,,
Aciloc RD 20 Tablet,Domperidone (10mg)+ Omeprazole (20mg),"BISCUIT, CHEESE FLAVORED",1,high_fat_empty_stomach,,,
Akt 4 Kit,Isoniazid (300mg)+ Rifampicin (450mg)+ Ethambutol (800mg)+ Pyrazinamide (750mg),Veal Parmesan (1 serving),1,high_fat_empty_stomach,,,
Aztor 10 Tablet,Atorvastatin (10mg),Saltimbocca (1 serving),1,high_fat_empty_stomach,,,
Amlopres-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),Shawarma (Chicken 1 wrap),1,high_fat_empty_stomach,,,
Acenac-MR Tablet,Thiocolchicoside (4mg)+ Aceclofenac (100mg)+ Paracetamol (325mg),"LEGUME MALLUM, NFS, TEMPERED, W/ SCRAPED COCONUT",0,,,,
Augmentin 375 Tablet,Amoxycillin (250mg)+ Clavulanic Acid (125mg),SWEETENED CONDENSED MILK,1,calcium_antibiotic,,,
Althrocin 500 Tablet,Erythromycin (500mg),Caesar Salad (with chicken),1,high_fat_empty_stomach,,,
Andol 0.5mg Tablet,Haloperidol (0.5mg),"LIQUOR, HARD (>35% ABV), NON-SPECIFIC",2,cns_alcohol,,,
Atorlip-F Tablet,Atorvastatin (10mg)+ Fenofibrate (145mg),Tiramisu (1 slice),1,high_fat_empty_stomach,,,
Atorva Tablet,Atorvastatin (10mg),Duck (3oz roasted),1,high_fat_empty_stomach,,,
Acogut Tablet,Acotiamide (100mg),Tofu Stir-fry,1,high_fat_empty_stomach,,,
Acogut Tablet,Acotiamide (100mg),Gyro (1 sandwich),1,high_fat_empty_stomach,,,
Allegra 120mg Tablet,Fexofenadine (120mg),"CHICKEN MEAT W/ BONE, DEEP-FRIED",0,,,,
Avastin 400mg Injection,Bevacizumab (400mg),Gin (1 oz),0,,,,
Amaryl 2mg Tablet,Glimepiride (2mg),"COWPEAS, WHOLE, BOILED, W/ COCONUT MILK",0,,,,
Augmentin Duo Oral Suspension,Amoxycillin (200mg)+ Clavulanic Acid (28.5mg),"AMARANTH LEAVES, BOILED, W/ COCONUT MILK",1,calcium_antibiotic,,,
Alprax 0.5mg Tablet,Alprazolam (0.5mg),Spinach (1 cup,0,,,,
Akt 4 Kit,Isoniazid (300mg)+ Rifampicin (450mg)+ Ethambutol (800mg)+ Pyrazinamide (750mg),"TARO LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",1,high_fat_empty_stomach,,,
Alfoo 10mg Tablet PR,Alfuzosin (10mg),Pistachios (1 oz shelled),0,,,,
Augmentin DDS Suspension,Amoxycillin (400mg/5ml)+ Clavulanic Acid (57mg/5ml),"DRUMSTICK LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",1,calcium_antibiotic,,,
Axcer 90mg Tablet,Ticagrelor (90mg),Ketchup (1 tbsp),0,,,,
Ativan 1mg Tablet,Lorazepam (1mg),Purple Yam (with coconut milk),0,,,,
Amlokind-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),"BISCUIT, LEMON PUFF",1,high_fat_empty_stomach,,,
Atorva 40 Tablet,Atorvastatin (40mg),"CAKE,SPONGE",1,high_fat_empty_stomach,,,
Augmentin DDS Suspension,Amoxycillin (400mg/5ml)+ Clavulanic Acid (57mg/5ml),"SCAD (BOLLA), FRESH, FRIED",1,calcium_antibiotic,,,
Azmarda 50mg Tablet,Sacubitril (24mg)+ Valsartan (26mg),"EGG, WHOLE, BOILED & TEMPERED, W/ COCONUT MILK",0,,,,
Arachitol 6L Injection,Vitamin D3 (600000IU),Fried Karawala,0,,,,
Andol 0.5mg Tablet,Haloperidol (0.5mg),"MALTED DRINK, BOTTLED, READY-TO-DRINK",0,,,,
Augmentin Duo Oral Suspension,Amoxycillin (200mg)+ Clavulanic Acid (28.5mg),"AGATHI FLOWERS, TEMPERED",1,calcium_antibiotic,,,
Amixide-H Tablet,Amitriptyline (12.5mg)+ Chlordiazepoxide (5mg),"LIQUOR, HARD (>35% ABV), NON-SPECIFIC",2,cns_alcohol,,,
Althrocin 500 Tablet,Erythromycin (500mg),Eggs Benedict (1 serving),1,high_fat_empty_stomach,,,
Amixide-H Tablet,Amitriptyline (12.5mg)+ Chlordiazepoxide (5mg),Arak,2,cns_alcohol,,,
Azoflox UTI Tablet,Ofloxacin (200mg)+ Flavoxate (200mg),Black Pepper (1 tsp),0,,,,
AB-Flo-N Tablet,Acebrophylline (100mg)+ Acetylcysteine (600mg),Coconut Milk 1st extraction,0,,,,
Amlokind-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),"CHOCOLATE, MILK, PLAIN",1,high_fat_empty_stomach,,,
Advent 228.5mg Dry Syrup,Amoxycillin (200mg)+ Clavulanic Acid (28.5mg),"PUMPKIN LEAVES, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",1,calcium_antibiotic,,,
Amoxyclav 625 Tablet,Amoxycillin (500mg)+ Clavulanic Acid (125mg),"DRUMSTICK LEAVES, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",1,calcium_antibiotic,,,
Aricep 5 Tablet,Donepezil (5mg),Empanada (Beef 1 medium),0,,,,
Amoxyclav 625 Tablet,Amoxycillin (500mg)+ Clavulanic Acid (125mg),"DRUMSTICK LEAVES, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",1,calcium_antibiotic,,,
Althrocin 500 Tablet,Erythromycin (500mg),"CASSAVA LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT ",1,high_fat_empty_stomach,,,
Acogut 300 ER Tablet,Acotiamide (300mg),Burger (cheeseburger),1,high_fat_empty_stomach,,,
Acemiz-S Tablet,Aceclofenac (100mg)+ Paracetamol (325mg)+ Serratiopeptidase (15mg),"SEER FISH, DRIED, TEMPERED, W/ COCONUT MILK",0,,,,
Augmentin Duo Oral Suspension,Amoxycillin (200mg)+ Clavulanic Acid (28.5mg),Almonds (1 oz),0,,,,
Aziderm 10% Gel,Azelaic Acid (10% w/w),RICE PORRIDGE W/ SCRAPED COCONUT,0,,,,
Acivir Cream,Acyclovir (5% w/w),Onion Rings (6 rings),0,,,,
Ativan 1mg Tablet,Lorazepam (1mg),FRUIT FLAVORED MILK DRINK,0,,,,
Amlopres-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),Quesadilla (Cheese 1 medium),1,high_fat_empty_stomach,,,
Aztor 10 Tablet,Atorvastatin (10mg),Macadamia Nuts (1 oz),1,high_fat_empty_stomach,,,
Akt 4 Kit,Isoniazid (300mg)+ Rifampicin (450mg)+ Ethambutol (800mg)+ Pyrazinamide (750mg),Dressing (French),1,high_fat_empty_stomach,,,
AB Phylline N Tablet,Acebrophylline (100mg)+ Acetylcysteine (600mg),Bun (Jam),0,,,,
Althrocin 500 Tablet,Erythromycin (500mg),"AMBARELLA, TEMPERED, W/ COCONUT MILK",1,high_fat_empty_stomach,,,
Amitone 10mg Tablet,Amitriptyline (10mg),"LIQUOR, HARD (>35% ABV), NON-SPECIFIC",2,cns_alcohol,,,
Asthalin 100mcg Inhaler,Salbutamol (100mcg),"HURULLA OR KEERAMIN SARDINELLA, FRESH, TEMPERED, W/ COCONUT MILK",0,,,,
Azicip 500 Tablet,Azithromycin (500mg),Balsamic Glaze (1 tbsp),0,,,,
Acogut 300 ER Tablet,Acotiamide (300mg),Coconut Sambol (with coconut oil),1,high_fat_empty_stomach,,,
Azeflo Nasal Spray,Fluticasone Propionate (50mcg)+ Azelastine (140mcg),Bagel (plain),0,,,,
Augmentin 375 Tablet,Amoxycillin (250mg)+ Clavulanic Acid (125mg),Idli (Millet),1,calcium_antibiotic,,,
Avil 25 Tablet,Pheniramine (25mg),Celery (1 stalk),0,,,,
Atorva 40 Tablet,Atorvastatin (40mg),"CASHEW NUTS, DRIED",1,high_fat_empty_stomach,,,
Aciloc RD 20 Tablet,Domperidone (10mg)+ Omeprazole (20mg),Gyro (1 sandwich),1,high_fat_empty_stomach,,,
Althrocin 500 Tablet,Erythromycin (500mg),Ghee,1,high_fat_empty_stomach,,,
Alfoo 10mg Tablet PR,Alfuzosin (10mg),Puff Pastry (1 oz wrapper),0,,,,
Ascoril Plus Expectorant,Bromhexine (2mg/5ml)+ Guaifenesin (50mg/5ml)+ Menthol (0.5mg/5ml)+ Terbutaline (1.25mg/5ml),"TREVALLY JACK, FRESH, BOILED, W/ COCONUT MILK",0,,,,
Arkamin Tablet,Clonidine (100mcg),Candied Fruit (1 tbsp),0,,,,
Ambrodil-S Syrup,Ambroxol (15mg/5ml)+ Salbutamol (1mg/5ml),Ketchup (1 tbsp),0,,,,
Amitone 10mg Tablet,Amitriptyline (10mg),"LIQUOR, TODDY, COCONUT",2,cns_alcohol,,,
Aciloc RD 20 Tablet,Domperidone (10mg)+ Omeprazole (20mg),"TENDER JACKFRUIT, TEMPERED MALLUM W/ SCRAPED COCONUT",1,high_fat_empty_stomach,,,
Amlokind-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),Tuna Melt,1,high_fat_empty_stomach,,,
Advent 228.5mg Dry Syrup,Amoxycillin (200mg)+ Clavulanic Acid (28.5mg),"BISCUIT, CREAM CRACKERS",0,,,,
Amaryl 1mg Tablet,Glimepiride (1mg),Lettuce (Romaine 2 cups),0,,,,
Amoxycillin 500mg Capsule,Amoxycillin (500mg),"GOTUKOLA, TEMPERED MALLUM W/SCRAPED COCONUT",1,calcium_antibiotic,,,
Andol 0.5mg Tablet,Haloperidol (0.5mg),"LIQUOR, TODDY, KITUL",2,cns_alcohol,,,
Amlodac 5 Tablet,Amlodipine (5mg),"PORK, BOILED, W/ COCONUT MILK",0,,,,
Actorise 200 Injection,Darbepoetin alfa (200mcg),Lobster Bisque (1 cup),0,,,,
Andol 0.5mg Tablet,Haloperidol (0.5mg),Beer,2,cns_alcohol,,,
Alerid-D Tablet,Cetirizine (5mg)+ Phenylephrine (10mg),"JACK MACKEREL, FRESH, BOILED AND TEMPERED, W/ COCONUT MILK",0,,,,
Alerid Tablet,Cetirizine (10mg),Matcha Latte (12 oz),0,,,,
Althrocin 500 Tablet,Erythromycin (500mg),Beef Wellington (1 slice),1,high_fat_empty_stomach,,,
Augmentin 1000 Duo Tablet,Amoxycillin (875mg)+ Clavulanic Acid (125mg),"AMARANTH LEAVES, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",1,calcium_antibiotic,,,
Aciloc RD 20 Tablet,Domperidone (10mg)+ Omeprazole (20mg),"RADISH, TEMPERED, W/ COCONUT MILK",0,,,,
Amikacin Sulphate 500mg Injection,Amikacin (500mg),Caesar Salad (with chicken),0,,,,
Amitone 10mg Tablet,Amitriptyline (10mg),Kasippu,2,cns_alcohol,,,
Amlokind-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),Coconut Sambol (with coconut oil),1,high_fat_empty_stomach,,,
Aciloc 150 Tablet,Ranitidine (150mg),Potato (Deep Fried),0,,,,
Amaryl 2mg Tablet,Glimepiride (2mg),"SHARK, FRESH, DEEP-FRIED",0,,,,
Amlokind-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),ATHIRASA,1,high_fat_empty_stomach,,,
Amixide-H Tablet,Amitriptyline (12.5mg)+ Chlordiazepoxide (5mg),Ginger Beer,2,cns_alcohol,,,
Amlokind-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),BRINJAL MOJU,1,high_fat_empty_stomach,,,
Ambrodil-S Syrup,Ambroxol (15mg/5ml)+ Salbutamol (1mg/5ml),"YOGHURT, WHOLE MILK, SWEETENED OR FLAVORED",0,,,,
Amlokind-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),"PEANUT, TEMPERED",1,high_fat_empty_stomach,,,
Acemiz Plus Tablet,Aceclofenac (100mg)+ Paracetamol (325mg),Skirt Steak (4oz grilled),0,,,,
Acogut 300 ER Tablet,Acotiamide (300mg),"CASHEW NUTS, ROASTED, SALTED",1,high_fat_empty_stomach,,,
Amlopres-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),"PAPAYA, GREEN, TEMPERED CURRY",1,high_fat_empty_stomach,,,
Aciloc RD 20 Tablet,Domperidone (10mg)+ Omeprazole (20mg),Kimchi Jjigae (1 bowl),1,high_fat_empty_stomach,,,
Amoxycillin 500mg Capsule,Amoxycillin (500mg),"CHOCOLATE, MILK, PLAIN",1,calcium_antibiotic,,,
Alex Syrup Sugar Free,Phenylephrine (5mg/5ml)+ Chlorpheniramine Maleate (2mg/5ml)+ Dextromethorphan Hydrobromide (10mg/5ml),Gal Banis,0,,,,
Augmentin Duo Oral Suspension,Amoxycillin (200mg)+ Clavulanic Acid (28.5mg),"CASSAVA LEAVES, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT ",1,calcium_antibiotic,,,
Andol 0.5mg Tablet,Haloperidol (0.5mg),Arak,2,cns_alcohol,,,
Amitone 10mg Tablet,Amitriptyline (10mg),Arak,2,cns_alcohol,,,
Avil Injection,Pheniramine (22.75mg),"WINGED BEANS, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",0,,,,
Aciloc RD 20 Tablet,Domperidone (10mg)+ Omeprazole (20mg),Leeks (With coconut milk),1,high_fat_empty_stomach,,,
Acemiz -MR Tablet,Aceclofenac (100mg)+ Paracetamol (325mg)+ Chlorzoxazone (250mg),"GAME MEAT, NFS, W/ COCONUT MILK",0,,,,
Alex Syrup,Phenylephrine (5mg/5ml)+ Chlorpheniramine Maleate (2mg/5ml)+ Dextromethorphan Hydrobromide (10mg/5ml),"DRUMSTICK LEAVES, BOILED",0,,,,
Atorva 20 Tablet,Atorvastatin (20mg),"COCONUT KERNEL, GREEN, FRESH",1,high_fat_empty_stomach,,,
Atarax 10mg Tablet,Hydroxyzine (10mg),Diet Soda (1 can),0,,,,
Atorva Tablet,Atorvastatin (10mg),"COCONUT KERNEL, GREEN, FRESH",1,high_fat_empty_stomach,,,
Actorise 100 Injection,Darbepoetin alfa (100mcg),ALUWA,0,,,,
Amoxyclav 625 Tablet,Amoxycillin (500mg)+ Clavulanic Acid (125mg),"AMARANTH LEAVES, BOILED, W/ COCONUT MILK",1,calcium_antibiotic,,,
Althrocin 500 Tablet,Erythromycin (500mg),"TARO LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",1,high_fat_empty_stomach,,,
Actorise 60 Injection,Darbepoetin alfa (60mcg),"PUMPKIN LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",0,,,,
Aromasin 25mg Tablet,Exemestane (25mg),"BLACK GRAM, WHOLE, BOILED & TEMPERED",0,,,,
Aztor 10 Tablet,Atorvastatin (10mg),"BISCUIT, LEMON PUFF",1,high_fat_empty_stomach,,,
AB-Flo Capsule,Acebrophylline (100mg),Sashimi (Salmon 3 pcs),0,,,,
Avastin 100mg Injection,Bevacizumab (100mg),Idli (Semolina),0,,,,
Avanair 100 Tablet,Avanafil (100mg),"CHICKEN MEAT W/ BONE, DEEP-FRIED",1,high_fat_empty_stomach,,,
Asthakind-LS Expectorant Cola Sugar Free,Ambroxol (30mg/5ml)+ Levosalbutamol (1mg/5ml)+ Guaifenesin (50mg/5ml),"SCAD (BOLLA), FRESH, BOILED, W/ COCONUT MILK",0,,,,
Atorlip-F Tablet,Atorvastatin (10mg)+ Fenofibrate (145mg),Lomo Saltado (1.5 cups),1,high_fat_empty_stomach,,,
Althrocin 500 Tablet,Erythromycin (500mg),BRINJAL MOJU,1,high_fat_empty_stomach,,,
Aciloc RD 20 Tablet,Domperidone (10mg)+ Omeprazole (20mg),Maldives Fish (Dry),0,,,,
Amlokind-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),"PEANUT,DRY,ROASTED",1,high_fat_empty_stomach,,,
Amlopres-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),"BRINJAL, W/ COCONUT MILK",0,,,,
Akurit 4 Tablet,Isoniazid (75mg)+ Rifampicin (150mg)+ Ethambutol (275mg)+ Pyrazinamide (400mg),"BISCUIT, LEMON PUFF",1,high_fat_empty_stomach,,,
Amixide-H Tablet,Amitriptyline (12.5mg)+ Chlordiazepoxide (5mg),"LIQUOR, TODDY, COCONUT",2,cns_alcohol,,,
Augmentin 625 Duo Tablet,Amoxycillin (500mg)+ Clavulanic Acid (125mg),"DRUMSTICK LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",1,calcium_antibiotic,,,
Andol 0.5mg Tablet,Haloperidol (0.5mg),Ginger Beer,2,cns_alcohol,,,
Ascoril LS Syrup,Ambroxol (30mg/5ml)+ Levosalbutamol (1mg/5ml)+ Guaifenesin (50mg/5ml),"Leafy Greens (NFS & Dried Fish,Tempered)",0,,,,
Asthakind Expectorant Sugar Free,Guaifenesin (50mg)+ Terbutaline (1.25mg)+ Bromhexine (2mg),"AVELEMEEN (MULLET), FRESH, BOILED, W/ COCONUT MILK",0,,,,
Acemiz -MR Tablet,Aceclofenac (100mg)+ Paracetamol (325mg)+ Chlorzoxazone (250mg),"DRUMSTICKS, BOILED & TEMPERED",0,,,,
Avil Injection,Pheniramine (22.75mg),"CAKE,DATE",0,,,,
Acogut 300 ER Tablet,Acotiamide (300mg),Roast Peanut,1,high_fat_empty_stomach,,,
Akurit 4 Tablet,Isoniazid (75mg)+ Rifampicin (150mg)+ Ethambutol (275mg)+ Pyrazinamide (400mg),"SHARK, DRIED, TEMPERED, W/ COCONUT MILK",0,,,,
Anovate Cream,Phenylephrine (0.10% w/w)+ Beclometasone (0.025% w/w)+ Lidocaine (2.50% w/w),"EMPEROR FISH (VILAI), FRESH, BOILED, W/ COCONUT MILK",0,,,,
Akurit 4 Tablet,Isoniazid (75mg)+ Rifampicin (150mg)+ Ethambutol (275mg)+ Pyrazinamide (400mg),Macaroni Salad (1 cup),1,high_fat_empty_stomach,,,
Andol 0.5mg Tablet,Haloperidol (0.5mg),"LIQUOR, TODDY, COCONUT",2,cns_alcohol,,,
Azel 40mg Capsule,Enzalutamide (40mg),Manila Tamarind,0,,,,
Actorise 40 Injection,Darbepoetin alfa (40mcg),Pita Bread (1 white),0,,,,
Atarax 10mg Tablet,Hydroxyzine (10mg),"MILK, NON FAT, FRESH OR UHT",0,,,,
Ascoril LS Syrup,Ambroxol (30mg/5ml)+ Levosalbutamol (1mg/5ml)+ Guaifenesin (50mg/5ml),"HALMASSA ANCHOVY (SPRAT), DRIED, BOILED",0,,,,
Amlokind-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),Melted Butter (for lobster),1,high_fat_empty_stomach,,,
Acogut Tablet,Acotiamide (100mg),"HURULLA OR KEERAMIN SARDINELLA, FRESH, TEMPERED",1,high_fat_empty_stomach,,,
Akt 4 Kit,Isoniazid (300mg)+ Rifampicin (450mg)+ Ethambutol (800mg)+ Pyrazinamide (750mg),Soy Sauce (1 tbsp for dipping),0,,,,
Augmentin 625 Duo Tablet,Amoxycillin (500mg)+ Clavulanic Acid (125mg),"HALMASSA ANCHOVY (SPRAT), FRESH, TEMPERED",1,calcium_antibiotic,,,
Asthakind-P Drops,Ambroxol (7.5mg)+ Guaifenesin (12.5mg)+ Terbutaline (0.25mg),"JACK MACKEREL, FRESH, BOILED AND TEMPERED, W/ COCONUT MILK",0,,,,
Augmentin 1.2gm Injection,Amoxycillin (1000mg)+ Clavulanic Acid (200mg),"MUKUNUWENNA, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",1,calcium_antibiotic,,,
Atorva 40 Tablet,Atorvastatin (40mg),"CAKE, ICED",1,high_fat_empty_stomach,,,
Avanair 100 Tablet,Avanafil (100mg),Philly Cheesesteak (6 inch),1,high_fat_empty_stomach,,,
Andol 0.5mg Tablet,Haloperidol (0.5mg),"LIQUOR, TODDY, PALMYRA",2,cns_alcohol,,,
Aricep 5 Tablet,Donepezil (5mg),Tempeh (3oz),0,,,,
Aziderm 20% Cream,Azelaic Acid (20% w/w),Asparagus (6 spears roasted),0,,,,
Amoxycillin 500mg Capsule,Amoxycillin (500mg),"RUSKS, PLAIN",1,calcium_antibiotic,,,
Ascoril LS Junior Syrup,Ambroxol (15mg/5ml)+ Levosalbutamol (0.5mg/5ml)+ Guaifenesin (50mg/5ml),"PUMPKIN LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",0,,,,
Atorva Tablet,Atorvastatin (10mg),Beef Burrito (large),1,high_fat_empty_stomach,,,
Amitone 10mg Tablet,Amitriptyline (10mg),"LIQUOR, TODDY, KITUL",2,cns_alcohol,,,
Aztor 10 Tablet,Atorvastatin (10mg),Roast Peanut,1,high_fat_empty_stomach,,,
Amoxyclav 625 Tablet,Amoxycillin (500mg)+ Clavulanic Acid (125mg),"CHOCOLATE, MILK, W/ NUTS OR FRUIT",1,calcium_antibiotic,,,
Aziderm 10% Gel,Azelaic Acid (10% w/w),"Lime Juice (fresh,raw (100% Juice))",0,,,,
Akt 4 Kit,Isoniazid (300mg)+ Rifampicin (450mg)+ Ethambutol (800mg)+ Pyrazinamide (750mg),Sausage Link (1 cooked),0,,,,
Ambrodil-S Syrup,Ambroxol (15mg/5ml)+ Salbutamol (1mg/5ml),"Halmassa Anchovy (Sprat, Dried)",0,,,,
Azel 40mg Capsule,Enzalutamide (40mg),Sumac (1/2 tsp dressing),0,,,,
Asthakind-LS Expectorant Cola Sugar Free,Ambroxol (30mg/5ml)+ Levosalbutamol (1mg/5ml)+ Guaifenesin (50mg/5ml),"BRINJAL AND DRIED FISH, W/ COCONUT MILK",0,,,,
Augmentin 625 Duo Tablet,Amoxycillin (500mg)+ Clavulanic Acid (125mg),"MILK POWDER, WHOLE (FULL FAT)",1,calcium_antibiotic,,,
Amitone 10mg Tablet,Amitriptyline (10mg),Beer,2,cns_alcohol,,,
Amoxyclav 625 Tablet,Amoxycillin (500mg)+ Clavulanic Acid (125mg),"MILK POWDER, WHOLE (FULL FAT)",1,calcium_antibiotic,,,
Aciloc RD 20 Tablet,Domperidone (10mg)+ Omeprazole (20mg),"SCRAPED COCONUT, FRESH, UNSWEETENED",1,high_fat_empty_stomach,,,
Augmentin 375 Tablet,Amoxycillin (250mg)+ Clavulanic Acid (125mg),"HALMASSA ANCHOVY (SPRAT), FRESH, TEMPERED",1,calcium_antibiotic,,,
Azax 500 Tablet,Azithromycin (500mg),"PINEAPPLE, RIPE, RAW",0,,,,
Akt 4 Kit,Isoniazid (300mg)+ Rifampicin (450mg)+ Ethambutol (800mg)+ Pyrazinamide (750mg),"CRISPS, MAIZE PUFF",1,high_fat_empty_stomach,,,
Amixide-H Tablet,Amitriptyline (12.5mg)+ Chlordiazepoxide (5mg),"LIQUOR, TODDY, PALMYRA",2,cns_alcohol,,,
Asthalin 100mcg Inhaler,Salbutamol (100mcg),"BEET ROOT, BOILED, W/ COCONUT MILK",0,,,,
Amlokind-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),"EMPEROR FISH (VILAI), FRESH, BOILED, W/ COCONUT MILK",0,,,,
Amlopres-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),Kimchi Jjigae (1 bowl),1,high_fat_empty_stomach,,,
Amlopres-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),"BISCUIT, SHORTIES",1,high_fat_empty_stomach,,,
Atorva 20 Tablet,Atorvastatin (20mg),Quesadilla (Cheese 1 medium),1,high_fat_empty_stomach,,,
Atorva 40 Tablet,Atorvastatin (40mg),"PEANUT,DRY,ROASTED",1,high_fat_empty_stomach,,,
Altraday Capsule SR,Aceclofenac (200mg)+ Rabeprazole (20mg),"Roti (Wheat, Plain)",0,,,,
