interaction_id,medicine_1_name,medicine_1_active_ingredient,medicine_1_class,medicine_2_name,medicine_2_active_ingredient,medicine_2_class,interaction_risk,severity,risk_score,mechanism,recommendation,source_type,evidence_level
DDI00028,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Moderate,Moderate,42,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,high
DDI00029,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Furosemide 40mg Tablet,Furosemide,Diuretic,Safe,Low,8,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00030,Thyrox 50mcg Tablet,Levothyroxine,Thyroid hormone,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Safe,Low,27,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00031,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Safe,Low,19,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00032,Insulin Regular,Insulin,Antidiabetic,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Safe,Low,33,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00033,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Metformin 500mg Tablet,Metformin,Antidiabetic,Safe,Low,35,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00034,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Warf 5 Tablet,Warfarin,Anticoagulant,Safe,Low,3,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00035,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Moderate,Moderate,56,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,medium
DDI00036,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Sertraline 50mg Tablet,Sertraline,SSRI,Safe,Low,8,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00037,Carbamazepine 200mg Tablet,Carbamazepine,Anticonvulsant,Sertraline 50mg Tablet,Sertraline,SSRI,Safe,Low,12,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00038,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Safe,Low,26,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00039,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Safe,Low,6,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00040,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Safe,Low,6,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00041,Ibu 400 Tablet,Ibuprofen,NSAID,Furosemide 40mg Tablet,Furosemide,Diuretic,Safe,Low,27,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00042,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Moderate,Moderate,54,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,high
DDI00043,Insulin Regular,Insulin,Antidiabetic,Furosemide 40mg Tablet,Furosemide,Diuretic,Moderate,Moderate,64,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,high
DDI00044,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Sertraline 50mg Tablet,Sertraline,SSRI,Safe,Low,25,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00045,Omeprazole 20mg Capsule,Omeprazole,PPI,Warf 5 Tablet,Warfarin,Anticoagulant,Moderate,Moderate,65,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,medium
DDI00046,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Moderate,Moderate,61,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,high
DDI00047,Ibu 400 Tablet,Ibuprofen,NSAID,Losar 50 Tablet,Losartan,ARB,Safe,Low,3,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00048,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Safe,Low,30,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00049,Diazepam 5mg Tablet,Diazepam,Benzodiazepine,Metformin 500mg Tablet,Metformin,Antidiabetic,Moderate,Moderate,59,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,low
DDI00050,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Safe,Low,15,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00051,Metformin 500mg Tablet,Metformin,Antidiabetic,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Safe,Low,33,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI00052,Ibu 400 Tablet,Ibuprofen,NSAID,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Safe,Low,15,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI00053,Simva 20 Tablet,Simvastatin,Statin,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Safe,Low,29,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00054,Warf 5 Tablet,Warfarin,Anticoagulant,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Moderate,Moderate,66,Antibiotic may affect anticoagulant response,Clinical monitoring recommended,rule_based,high
DDI00055,Furosemide 40mg Tablet,Furosemide,Diuretic,Ibu 400 Tablet,Ibuprofen,NSAID,Safe,Low,8,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00056,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Safe,Low,10,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00057,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Losar 50 Tablet,Losartan,ARB,Safe,Low,33,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00058,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Furosemide 40mg Tablet,Furosemide,Diuretic,Safe,Low,6,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00059,Atorva 20 Tablet,Atorvastatin,Statin,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Safe,Low,35,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00060,Losar 50 Tablet,Losartan,ARB,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Safe,Low,21,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00061,Insulin Regular,Insulin,Antidiabetic,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Safe,Low,31,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00062,Metformin 500mg Tablet,Metformin,Antidiabetic,Insulin Regular,Insulin,Antidiabetic,Moderate,Moderate,58,Combined glucose-lowering therapy may increase hypoglycemia risk,Monitor blood glucose,synthetic_model,medium
DDI00063,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Warf 5 Tablet,Warfarin,Anticoagulant,Safe,Low,8,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00064,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Safe,Low,27,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00065,Metformin 500mg Tablet,Metformin,Antidiabetic,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Safe,Low,9,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00066,Clopidogrel 75mg Tablet,Clopidogrel,Antiplatelet,Furosemide 40mg Tablet,Furosemide,Diuretic,Safe,Low,8,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00067,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Moderate,Moderate,51,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,low
DDI00068,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Safe,Low,35,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00069,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Simva 20 Tablet,Simvastatin,Statin,Moderate,Moderate,45,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,medium
DDI00070,Warf 5 Tablet,Warfarin,Anticoagulant,Thyrox 50mcg Tablet,Levothyroxine,Thyroid hormone,Safe,Low,21,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00071,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Safe,Low,17,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00072,Atorva 20 Tablet,Atorvastatin,Statin,Omeprazole 20mg Capsule,Omeprazole,PPI,Moderate,Moderate,47,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,medium
DDI00073,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Losar 50 Tablet,Losartan,ARB,Moderate,Moderate,47,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,low
DDI00074,Ibu 400 Tablet,Ibuprofen,NSAID,Omeprazole 20mg Capsule,Omeprazole,PPI,Safe,Low,4,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI00075,Insulin Regular,Insulin,Antidiabetic,Diazepam 5mg Tablet,Diazepam,Benzodiazepine,Safe,Low,34,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00076,Atorva 20 Tablet,Atorvastatin,Statin,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Moderate,Moderate,58,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,high
DDI00077,Atorva 20 Tablet,Atorvastatin,Statin,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Safe,Low,20,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00078,Diazepam 5mg Tablet,Diazepam,Benzodiazepine,Atorva 20 Tablet,Atorvastatin,Statin,Safe,Low,12,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00079,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Safe,Low,34,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00080,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Metformin 500mg Tablet,Metformin,Antidiabetic,Moderate,Moderate,59,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,low
DDI00081,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Atorva 20 Tablet,Atorvastatin,Statin,Safe,Low,19,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00082,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Safe,Low,18,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00083,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Moderate,Moderate,59,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,medium
DDI00084,Furosemide 40mg Tablet,Furosemide,Diuretic,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Safe,Low,18,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00085,Carbamazepine 200mg Tablet,Carbamazepine,Anticonvulsant,Clopidogrel 75mg Tablet,Clopidogrel,Antiplatelet,Safe,Low,20,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI00086,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Moderate,Moderate,61,May affect blood sugar control,Monitor glucose during antibiotic course,rule_based,low
DDI00087,Sertraline 50mg Tablet,Sertraline,SSRI,Carbamazepine 200mg Tablet,Carbamazepine,Anticonvulsant,Moderate,Moderate,61,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,medium
DDI00088,Diazepam 5mg Tablet,Diazepam,Benzodiazepine,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Safe,Low,21,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00089,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Losar 50 Tablet,Losartan,ARB,Safe,Low,12,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00090,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Moderate,Moderate,54,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,low
DDI00091,Clopidogrel 75mg Tablet,Clopidogrel,Antiplatelet,Ibu 400 Tablet,Ibuprofen,NSAID,Safe,Low,24,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI00092,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Simva 20 Tablet,Simvastatin,Statin,Safe,Low,0,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00093,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Thyrox 50mcg Tablet,Levothyroxine,Thyroid hormone,Safe,Low,33,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00094,Furosemide 40mg Tablet,Furosemide,Diuretic,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Moderate,Moderate,54,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,medium
DDI00095,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Diazepam 5mg Tablet,Diazepam,Benzodiazepine,Moderate,Moderate,64,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,low
DDI00096,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Moderate,Moderate,57,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,high
DDI00097,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Safe,Low,16,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00098,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Safe,Low,31,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00099,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Metformin 500mg Tablet,Metformin,Antidiabetic,Safe,Low,15,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI00100,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Safe,Low,8,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00101,Omeprazole 20mg Capsule,Omeprazole,PPI,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Safe,Low,13,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00102,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Safe,Low,26,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00103,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Safe,Low,1,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI00104,Warf 5 Tablet,Warfarin,Anticoagulant,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Safe,Low,24,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00105,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Furosemide 40mg Tablet,Furosemide,Diuretic,Safe,Low,14,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00106,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Safe,Low,24,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00107,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Carbamazepine 200mg Tablet,Carbamazepine,Anticonvulsant,Safe,Low,10,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00108,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Furosemide 40mg Tablet,Furosemide,Diuretic,Safe,Low,25,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00109,Insulin Regular,Insulin,Antidiabetic,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Safe,Low,29,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00110,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Omeprazole 20mg Capsule,Omeprazole,PPI,Safe,Low,29,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI00111,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Safe,Low,26,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00112,Sertraline 50mg Tablet,Sertraline,SSRI,Warf 5 Tablet,Warfarin,Anticoagulant,Moderate,Moderate,68,May increase bleeding tendency,Monitor bleeding symptoms and INR if applicable,rule_based,medium
DDI00113,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Insulin Regular,Insulin,Antidiabetic,Safe,Low,2,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00114,Ibu 400 Tablet,Ibuprofen,NSAID,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Safe,Low,9,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00115,Sertraline 50mg Tablet,Sertraline,SSRI,Glibenclamide 5mg Tablet,Glibenclamide,Sulfonylurea,Safe,Low,13,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00116,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Safe,Low,7,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00117,Atorva 20 Tablet,Atorvastatin,Statin,Clopidogrel 75mg Tablet,Clopidogrel,Antiplatelet,Safe,Low,19,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,medium
DDI00118,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Ibu 400 Tablet,Ibuprofen,NSAID,Safe,Low,15,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
