interaction_id,medicine,supplement_ingredient,interaction_risk,severity,recommendation
I0023,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0024,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0025,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0026,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0027,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0028,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0029,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0030,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0031,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0032,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0033,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0034,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0035,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0036,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0037,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0038,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0039,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0040,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0041,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0042,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0043,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0044,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0045,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0046,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0047,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0048,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0049,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0050,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0051,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0052,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0053,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0054,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0055,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0056,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0057,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0058,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0059,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0060,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0061,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0062,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0063,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0064,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0065,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0066,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0067,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0068,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0069,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0070,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0071,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0072,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0073,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0074,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0075,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0076,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0077,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0078,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0079,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0080,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0081,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0082,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0083,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0084,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0085,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0086,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0087,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0088,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0089,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0090,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0091,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0092,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0093,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0094,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0095,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0096,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0097,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0098,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0099,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0100,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0101,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0102,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0103,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0104,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0105,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0106,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0107,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0108,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0109,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0110,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0111,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0112,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0113,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0114,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0115,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0116,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0117,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0118,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0119,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0120,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0121,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0122,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0123,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0124,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0125,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0126,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0127,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0128,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0129,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0130,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0131,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0132,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0133,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0134,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0135,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0136,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0137,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0138,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0139,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0140,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0141,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0142,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0143,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0144,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0145,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0146,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0147,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0148,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0149,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0150,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0151,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0152,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0153,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0154,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0155,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0156,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0157,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0158,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0159,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0160,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0161,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0162,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0163,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0164,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0165,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0166,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0167,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0168,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0169,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0170,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0171,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0172,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0173,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0174,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0175,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0176,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0177,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0178,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0179,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0180,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0181,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0182,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0183,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0184,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0185,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0186,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0187,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0188,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0189,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0190,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0191,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0192,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0193,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0194,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0195,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0196,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0197,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0198,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0199,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0200,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0201,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0202,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0203,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0204,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0205,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0206,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0207,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0208,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0209,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0210,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0211,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0212,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0213,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0214,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0215,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0216,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0217,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0218,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0219,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0220,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0221,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0222,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0223,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0224,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0225,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0226,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0227,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0228,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0229,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0230,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0231,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0232,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0233,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0234,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0235,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0236,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0237,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0238,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0239,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0240,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0241,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0242,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0243,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0244,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0245,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0246,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0247,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0248,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0249,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0250,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0251,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0252,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0253,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0254,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0255,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0256,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0257,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0258,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0259,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0260,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0261,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0262,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0263,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0264,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0265,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0266,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0267,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0268,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0269,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0270,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0271,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0272,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0273,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0274,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0275,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0276,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0277,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0278,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0279,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0280,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0281,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0282,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0283,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0284,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0285,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0286,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0287,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0288,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0289,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0290,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0291,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0292,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0293,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0294,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0295,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0296,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0297,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
I0298,Propranolol,caffeine,Caffeine may reduce beta-blocker effect,Moderate,Limit caffeine
I0299,Atenolol,caffeine,Caffeine may reduce beta-blocker effect,Low,Limit caffeine and monitor
I0300,Montelukast,ashwagandha extract,Sedation or response variability possible,Low,Monitor symptoms
I0301,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0302,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0303,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0304,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0305,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0306,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0307,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0308,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
